"origine";"destination";"premiereclasse";"secondeclasse";"loisir2nd";"Commentaires"
"262";"ANGERS ST LAUD";"CLUSES 74";"161";25;"120";""
"263";"ANGERS ST LAUD";"DOUAI";"127";25;"101";""
"264";"ANGERS ST LAUD";"GRENOBLE";"159";25;"115";""
"265";"ANGERS ST LAUD";"GUINGAMP";"82";NA;"57";""
"266";"ANGERS ST LAUD";"LA BAULE ESCOUBLAC";"46";NA;"32";""
"267";"ANGERS ST LAUD";"LA ROCHE SUR FORON";"161";25;"120";""
"268";"ANGERS ST LAUD";"LA ROCHE SUR YON";"43";NA;"29";""
"269";"ANGERS ST LAUD";"LANDRY";"161";25;"120";""
"270";"ANGERS ST LAUD";"LE CREUSOT MONTCEAU MONTCHANIN";"135";25;"95";""
"271";"ANGERS ST LAUD";"LE CROISIC";"48";NA;"34";""
"272";"ANGERS ST LAUD";"LE MANS";"30";NA;"21";""
"273";"ANGERS ST LAUD";"LE POULIGUEN";"47";NA;"33";""
"274";"ANGERS ST LAUD";"LES SABLES D'OLONNE";"45";NA;"32";""
"275";"ANGERS ST LAUD";"LILLE EUROPE";"127";25;"101";""
"276";"ANGERS ST LAUD";"LILLE FLANDRES";"127";25;"101";""
"277";"ANGERS ST LAUD";"LORIENT";"66";NA;"45";""
"278";"ANGERS ST LAUD";"LORRAINE TGV";"148";25;"112";""
"279";"ANGERS ST LAUD";"LYON PART DIEU";"135";25;"96";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"280";"ANGERS ST LAUD";"LYON PERRACHE";"135";25;"96";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"281";"ANGERS ST LAUD";"LYON ST EXUPERY";"135";25;"96";""
"282";"ANGERS ST LAUD";"MARNE LA VALLEE CHESSY";"104";20;"73";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"283";"ANGERS ST LAUD";"MARSEILLE ST CHARLES";"173";25;"133";""
"284";"ANGERS ST LAUD";"MASSY PALAISEAU";"107";NA;"57";""
"285";"ANGERS ST LAUD";"MASSY TGV";"104";20;"73";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"286";"ANGERS ST LAUD";"MODANE";"161";25;"120";""
"287";"ANGERS ST LAUD";"MONTPELLIER";"173";25;"133";""
"288";"ANGERS ST LAUD";"MORLAIX";"90";NA;"63";""
"289";"ANGERS ST LAUD";"MOUTIERS SALINS BRIDES";"161";25;"120";""
"290";"ANGERS ST LAUD";"NANCY VILLE";"148";25;"112";""
"291";"ANGERS ST LAUD";"NANTES";"27,5";NA;"19,5";""
"292";"ANGERS ST LAUD";"NIMES";"173";25;"133";""
"293";"ANGERS ST LAUD";"PARIS MONTPARNASSE 1 ET 2";"104";20;"73";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"294";"ANGERS ST LAUD";"PORNICHET";"45";NA;"32";""
"295";"ANGERS ST LAUD";"QUIMPER";"78";NA;"53";""
"296";"ANGERS ST LAUD";"REDON";"46";NA;"32";""
"297";"ANGERS ST LAUD";"RENNES";"60";NA;"41";""
"298";"ANGERS ST LAUD";"SABLE";"18";NA;"12,1";""
